test_image,anchor_image
test_01.tiff,anchor_04.tiff
test_02.tiff,anchor_02.tiff
test_03.tiff,anchor_01.tiff
test_04.tiff,anchor_01.tiff
test_05.tiff,anchor_05.tiff
test_06.tiff,anchor_05.tiff
test_07.tiff,anchor_04.tiff
test_08.tiff,anchor_04.tiff
test_09.tiff,anchor_04.tiff
test_10.tiff,anchor_02.tiff
test_11.tiff,anchor_03.tiff
test_12.tiff,anchor_05.tiff
test_13.tiff,anchor_04.tiff
test_14.tiff,anchor_01.tiff
test_15.tiff,anchor_03.tiff
test_16.tiff,anchor_04.tiff
test_17.tiff,anchor_02.tiff
test_18.tiff,anchor_04.tiff
test_19.tiff,anchor_05.tiff
test_20.tiff,anchor_03.tiff
test_21.tiff,anchor_03.tiff
test_22.tiff,anchor_05.tiff
test_23.tiff,anchor_03.tiff
test_24.tiff,anchor_05.tiff
test_25.tiff,anchor_03.tiff
